angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.56,,"(311, 62, 131, 131)",,0.0,,0.04,,0.26,,0.01,,0.1,,0.02,
0.59,,"(308, 58, 134, 134)",,0.01,,0.05,,0.15,,0.01,,0.16,,0.02,
0.5,,"(313, 62, 124, 124)",,0.0,,0.05,,0.19,,0.03,,0.21,,0.01,
0.03,,"(314, 54, 123, 123)",,0.0,,0.02,,0.45,,0.31,,0.2,,0.0,
0.08,,"(310, 51, 133, 133)",,0.0,,0.02,,0.72,,0.04,,0.14,,0.0,
0.04,,"(308, 51, 133, 133)",,0.0,,0.01,,0.83,,0.05,,0.08,,0.0,
0.02,,"(307, 52, 129, 129)",,0.0,,0.02,,0.81,,0.03,,0.11,,0.0,
0.04,,"(308, 53, 128, 128)",,0.0,,0.04,,0.56,,0.03,,0.33,,0.0,
0.07,,"(306, 54, 131, 131)",,0.0,,0.08,,0.21,,0.02,,0.63,,0.0,
0.06,,"(302, 49, 140, 140)",,0.0,,0.06,,0.06,,0.02,,0.8,,0.0,
0.15,,"(307, 57, 132, 132)",,0.01,,0.13,,0.05,,0.01,,0.64,,0.01,
0.09,,"(304, 52, 139, 139)",,0.0,,0.07,,0.06,,0.03,,0.74,,0.0,
0.08,,"(302, 52, 138, 138)",,0.01,,0.06,,0.06,,0.02,,0.77,,0.0,
0.15,,"(305, 55, 133, 133)",,0.01,,0.04,,0.18,,0.03,,0.59,,0.0,
0.24,,"(305, 54, 136, 136)",,0.01,,0.05,,0.31,,0.02,,0.35,,0.01,
0.2,,"(297, 44, 149, 149)",,0.0,,0.05,,0.58,,0.02,,0.13,,0.02,
0.14,,"(298, 46, 146, 146)",,0.0,,0.02,,0.68,,0.03,,0.11,,0.01,
0.17,,"(298, 45, 148, 148)",,0.0,,0.05,,0.55,,0.03,,0.18,,0.02,
0.31,,"(300, 46, 146, 146)",,0.0,,0.06,,0.38,,0.03,,0.19,,0.02,
0.27,,"(298, 42, 149, 149)",,0.0,,0.08,,0.19,,0.05,,0.4,,0.01,
0.17,,"(300, 49, 141, 141)",,0.0,,0.04,,0.54,,0.03,,0.2,,0.02,
0.24,,"(303, 51, 135, 135)",,0.0,,0.07,,0.32,,0.02,,0.33,,0.01,
0.12,,"(297, 43, 147, 147)",,0.0,,0.08,,0.33,,0.04,,0.42,,0.0,
0.15,,"(300, 50, 138, 138)",,0.0,,0.1,,0.34,,0.02,,0.37,,0.0,
0.12,,"(300, 48, 142, 142)",,0.01,,0.08,,0.14,,0.04,,0.61,,0.0,
0.07,,"(301, 50, 138, 138)",,0.0,,0.12,,0.08,,0.03,,0.69,,0.0,
0.12,0.12,"(303, 55, 131, 131)","(508, 219, 54, 54)",0.0,0.0,0.11,0.08,0.19,0.03,0.02,0.09,0.55,0.67,0.0,0.01
0.08,,"(302, 51, 134, 134)",,0.0,,0.1,,0.29,,0.04,,0.49,,0.0,
0.08,,"(304, 53, 128, 128)",,0.0,,0.13,,0.17,,0.04,,0.57,,0.01,
0.12,,"(301, 47, 139, 139)",,0.01,,0.1,,0.11,,0.04,,0.61,,0.01,
0.18,,"(302, 49, 136, 136)",,0.0,,0.08,,0.14,,0.07,,0.53,,0.01,
0.12,,"(300, 49, 135, 135)",,0.0,,0.08,,0.26,,0.07,,0.47,,0.0,
0.14,,"(299, 49, 136, 136)",,0.0,,0.05,,0.44,,0.04,,0.32,,0.01,
0.08,,"(297, 50, 137, 137)",,0.0,,0.07,,0.41,,0.04,,0.41,,0.0,
0.1,,"(313, 50, 134, 134)",,0.0,,0.03,,0.83,,0.0,,0.03,,0.01,
0.07,,"(312, 48, 135, 135)",,0.0,,0.01,,0.91,,0.0,,0.01,,0.0,
0.1,,"(308, 43, 141, 141)",,0.0,,0.01,,0.87,,0.0,,0.02,,0.0,
0.08,,"(309, 41, 145, 145)",,0.0,,0.02,,0.87,,0.0,,0.02,,0.0,
0.09,,"(307, 38, 150, 150)",,0.0,,0.04,,0.82,,0.01,,0.04,,0.01,
0.11,,"(306, 35, 155, 155)",,0.0,,0.01,,0.86,,0.0,,0.02,,0.0,
0.05,,"(309, 36, 154, 154)",,0.0,,0.01,,0.92,,0.01,,0.01,,0.0,
0.08,,"(310, 37, 149, 149)",,0.0,,0.01,,0.88,,0.0,,0.02,,0.0,
0.05,,"(309, 35, 151, 151)",,0.0,,0.0,,0.94,,0.0,,0.01,,0.0,
0.05,,"(309, 36, 151, 151)",,0.0,,0.01,,0.93,,0.0,,0.01,,0.0,
0.01,,"(308, 37, 151, 151)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"(308, 36, 152, 152)",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
